time,command,ambient_temp,room_temp,predicted_temp,humidity,energy,total_energy,reason,discomfort,cost
2019-11-01 05:00:09.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:14.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:19.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:24.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:29.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:34.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:39.189,off,25.2,25.2,25.2,59.5,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:44.189,off,24.25,25.12,25.2,61.4,0.0,0.0,Cooldown active: holding previous command off,3.0,3.0694
2019-11-01 05:00:49.189,off,24.25,25.05,25.12,61.4,0.0,0.0,Cooldown active: holding previous command off,2.92,2.994
2019-11-01 05:00:54.189,off,24.57,24.97,25.05,60.77,0.0,0.0,Cooldown active: holding previous command off,2.85,2.9186
2019-11-01 05:00:59.189,off,24.57,24.9,24.97,60.77,0.0,0.0,Cooldown active: holding previous command off,2.77,2.8429
2019-11-01 05:01:04.189,off,24.22,24.82,24.9,61.38,0.0,0.0,Cooldown active: holding previous command off,2.7,2.7672
2019-11-01 05:01:09.189,cooling,24.22,24.62,24.82,61.38,0.0069,0.01,"Selected cooling with cost 2.6917 (Discomfort=2.62, Energy=0.0069)",2.62,2.6917
2019-11-01 05:01:14.189,cooling,24.22,24.42,24.53,61.38,0.0069,0.01,Cooldown active: holding previous command cooling,2.42,2.4917
2019-11-01 05:01:19.189,cooling,24.22,24.22,24.26,61.38,0.0069,0.02,Cooldown active: holding previous command cooling,2.22,2.2917
2019-11-01 05:01:24.189,cooling,24.42,24.02,24.02,60.98,0.0069,0.03,Cooldown active: holding previous command cooling,2.02,2.0917
2019-11-01 05:01:29.189,cooling,24.42,23.82,23.82,60.98,0.0069,0.03,Cooldown active: holding previous command cooling,1.82,1.8917
2019-11-01 05:01:34.189,cooling,24.25,23.62,23.62,61.37,0.0069,0.04,Cooldown active: holding previous command cooling,1.62,1.6917
2019-11-01 05:01:39.189,cooling,24.25,23.42,23.42,61.37,0.0069,0.05,Cooldown active: holding previous command cooling,1.42,1.4917
2019-11-01 05:01:44.189,cooling,24.37,23.22,23.22,61.1,0.0069,0.06,Cooldown active: holding previous command cooling,1.22,1.2917
2019-11-01 05:01:49.189,cooling,24.37,23.02,23.02,61.1,0.0069,0.06,Cooldown active: holding previous command cooling,1.02,1.0917
2019-11-01 05:01:54.189,cooling,24.29,22.82,22.82,61.0,0.0069,0.07,Cooldown active: holding previous command cooling,0.82,0.8917
2019-11-01 05:01:59.189,cooling,24.29,22.62,22.62,61.0,0.0069,0.08,Cooldown active: holding previous command cooling,0.62,0.6917
2019-11-01 05:02:04.189,cooling,24.29,22.42,22.42,61.0,0.0069,0.08,Cooldown active: holding previous command cooling,0.42,0.4917
2019-11-01 05:02:09.189,cooling,24.39,22.22,22.22,60.83,0.0069,0.09,"Selected cooling with cost 0.2917 (Discomfort=0.22, Energy=0.0069)",0.22,0.2917
2019-11-01 05:02:14.189,cooling,24.39,22.02,22.02,60.83,0.0069,0.1,Cooldown active: holding previous command cooling,0.02,0.0917
2019-11-01 05:02:19.189,cooling,24.39,21.82,21.82,60.83,0.0069,0.1,Cooldown active: holding previous command cooling,0.0,0.0694
2019-11-01 05:02:24.189,cooling,24.39,21.62,21.62,60.83,0.0069,0.11,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:29.189,cooling,24.32,21.42,21.42,60.77,0.0069,0.12,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:34.189,cooling,24.32,21.22,21.22,60.77,0.0069,0.13,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:39.189,cooling,24.32,21.02,21.02,60.77,0.0069,0.13,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:44.189,cooling,24.4,20.82,20.82,60.65,0.0069,0.14,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:49.189,cooling,24.4,20.62,20.62,60.65,0.0069,0.15,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:54.189,cooling,24.31,20.42,20.42,60.88,0.0069,0.15,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:02:59.189,cooling,24.25,20.22,20.22,60.85,0.0069,0.16,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:03:04.189,cooling,24.25,20.02,20.02,60.85,0.0069,0.17,Cooldown active: holding previous command cooling,0.0,0.0
2019-11-01 05:03:09.189,off,24.25,20.1,19.82,60.85,0.0,0.17,"Selected off with cost 0.0000 (Discomfort=0.00, Energy=0.0000)",0.0,0.0
